Rank,City,State,2018 Estimate,2010 Census,Change,2016 Land Area Km,2016 Land Area Mi,2016 Population Density km,2016 Population Density mi,Land Area,Water Area,Time Zone,Mayor,Airport,Official Website,Climate,Wiki link
1,New York City, New York,"8,398,748","8,175,133",+2.74%,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",302.643 sq mi (783.84 km2),165.841 sq mi (429.53 km2),UTC−05:00 (EST),Bill de Blasio,"New York's airspace is the busiest in the United States and one of the world's busiest air transportation corridors. The three busiest airports in the New York metropolitan area include John F. Kennedy International Airport, Newark Liberty International Airport, and LaGuardia Airport; 130.5 million travelers used these three airports in 2016, and the city's airspace is the busiest in the nation.[520] JFK and Newark Liberty were the busiest and fourth busiest U.S. gateways for international air passengers, respectively, in 2012; as of 2011[update], JFK was the busiest airport for international passengers in North America.[521] Plans have advanced to expand passenger volume at a fourth airport, Stewart International Airport near Newburgh, New York, by the Port Authority of New York and New Jersey.[522] Plans were announced in July 2015 to entirely rebuild LaGuardia Airport in a multibillion-dollar project to replace its aging facilities.[523] Other commercial airports in or serving the New York metropolitan area include Long Island MacArthur Airport, Trenton–Mercer Airport and Westchester County Airport. The primary general aviation airport serving the area is Teterboro Airport.
",http://www.nyc.gov/portal/site/nycgov/menuitem.e985cf5219821bc3f7393cd401c789a0/,"Under the Köppen climate classification, using the 0°C (32°F) isotherm, New York City features a humid subtropical climate (Cfa), and is thus the northernmost major city on the North American continent with this categorization. The suburbs to the immediate north and west lie in the transitional zone between humid subtropical and humid continental climates (Dfa).[214][215] For the Trewartha classification, it is defined as an oceanic climate (Do).[216][217] Annually, the city averages 234 days with at least some sunshine.[218] The city lies in the USDA 7b plant hardiness zone.[219]
",/wiki/New_York_City
2,Los Angeles, California,"3,990,456","3,792,621",+5.22%,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2","468.74 sq mi (1,214.03 km2)",34.02 sq mi (88.12 km2)  6.7%,UTC−08:00 (Pacific),Eric Garcetti,"The main international and domestic airport serving Los Angeles is Los Angeles International Airport (IATA: LAX, ICAO: KLAX), commonly referred to by its airport code, LAX.
",http://learningenglish.voanews.com/content/nicknames-for-los-angeles/1644584.html,"Los Angeles has a Mediterranean climate (Köppen Csb on the coast and most of downtown, Csa near the metropolitan region to the west), and receives just enough annual precipitation to avoid semi-arid climate (BSh),[71] making the myth that the city has been built in a desert not be completely incorrect.[72][73] Los Angeles has plenty of sunshine throughout the year, with an average of only 35 days with measurable precipitation annually.[74] The coastal region around Los Angeles has a climate comparable to coastal areas of southeastern Spain such as Alicante or Elche, in temperature range and variation, in sunshine hours and as well as annual precipitation levels.
",/wiki/Los_Angeles
3,Chicago, Illinois,"2,705,994","2,695,598",+0.39%,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",227.34 sq mi (588 km2),6.80 sq mi (17.62 km2)  3.0%,UTC−06:00 (Central),Lori Lightfoot,"Chicago is served by O'Hare International Airport, the world's busiest airport measured by airline operations,[317] on the far Northwest Side, and Midway International Airport on the Southwest Side. In 2005, O'Hare was the world's busiest airport by aircraft movements and the second-busiest by total passenger traffic.[318] Both O'Hare and Midway are owned and operated by the City of Chicago. Gary/Chicago International Airport and Chicago Rockford International Airport, located in Gary, Indiana and Rockford, Illinois, respectively, can serve as alternative Chicago area airports, however they do not offer as many commercial flights as O'Hare and Midway. In recent years the state of Illinois has been leaning towards building an entirely new airport in the Illinois suburbs of Chicago.[319] The City of Chicago is the world headquarters for United Airlines, the world's third-largest airline.
",http://www.cityofchicago.org,"The city lies within the hot-summer humid continental climate zone (Köppen: Dfa), and experiences four distinct seasons. Summers are hot and often humid, with a July average peaking at 85.0°F (29.4°C). In a normal summer, temperatures can exceed 90°F (32°C) on as many as 23days and during drought conditions temperatures may exceed 100°F (38°C). Winters are cold and snowy, although the city typically sees less snow and rain in winter than that experienced on the East Coast; blizzards do occur, as in 2011.[131] There are many sunny but cold days in winter. The normal winter high from December through March is about 36°F (2°C), with January and February being the coldest months; January 2019's polar vortex nearly broke the city's cold record of minus 27 degrees, which was set on January 20, 1985.[132][133][134] Spring and autumn are mild, short seasons, typically with low humidity. Dew point temperatures in the summer range from 55.7°F (13.2°C) in June to 61.7°F (16.5°C) in July.[135] The city lies within USDA plant hardiness zone 6a, transitioning to 5b in the suburbs.[136]
",/wiki/Chicago
4,Houston, Texas,"2,325,502","2,100,263",+10.72%,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2","599.59 sq mi (1,552.9 km2)",,UTC−6 (CST),Sylvester Turner,"The Houston Airport System, a branch of the municipal government, oversees the operation of three major public airports in the city. Two of these airports, George Bush Intercontinental Airport and William P. Hobby Airport, offer commercial aviation service to a variety of domestic and international destinations and served 55 million passengers in 2016. The third, Ellington Airport, is home to the Ellington Field Joint Reserve Base. The Federal Aviation Administration and the state of Texas selected the Houston Airport System as ""Airport of the Year"" in 2005, largely due to the implementation of a $3.1billion airport improvement program for both major airports in Houston.[272]
",http://www.houstontx.gov/,"Houston's climate is classified as humidsubtropical (Cfa in the Köppen climate classification system), typical of the Southern United States. The city experiences hot, long, and humid summers, and mild winters. While not located in Tornado Alley, like much of Northern Texas, spring supercell thunderstorms sometimes bring tornadoes to the area.[citation needed]
",/wiki/Houston
5,Phoenix, Arizona,"1,660,272","1,445,632",+14.85%,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2","517.64 sq mi (1,340.69 km2)",1.25 sq mi (3.25 km2),UTC−7 (MST (no DST)),Kate Gallego,"Phoenix is served by Phoenix Sky Harbor International Airport (IATA: PHX, ICAO: KPHX), one of the ten busiest airports in the United States, serving over 110,000 people on over 1000 flights per day.[304]  The airport is centrally located in the metro area near several major freeway interchanges east of downtown Phoenix. The airport serves more than 100 cities with non-stop flights.[305]
",http://www.phoenix.gov,"Phoenix has a hot desert climate (Köppen: BWh),[10][11] typical of the Sonoran Desert and being therefore the greater city of America in this climatic zone.[95] Phoenix has hot summers and mild winters. The city is located within the sunniest region in the world. Measuring 3,872 hours of bright sunshine annually, Phoenix receives the most sunshine of any major city on Earth.[96] Average high temperatures in summer are the hottest of any major city in the United States.[97] On average, there are 107 days annually with a high of at least 100°F (38°C)[98] including most days from late May through early October. Highs top 110°F (43°C) an average of 18 days during the year.[99] On June 26, 1990, the temperature reached an all-time recorded high of 122°F (50°C).[100] Despite the city's claim to the most extreme heat in summer, however, it does not have the highest average annual temperature in the contiguous United States. In that respect, it comes second to Miami; Phoenix has an average daily temperature of 75°F (24°C), compared to Miami's 77°F (25°C).[97] However, the percentage of small particle pollution (the kind that penetrates into the lungs) coming from vehicles in the city can get as high as 49 percent.[101]
","/wiki/Phoenix,_Arizona"
6,Philadelphia, Pennsylvania,"1,584,138","1,526,006",+3.81%,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",134.28 sq mi (347.78 km2),8.42 sq mi (21.81 km2),UTC-5 (EST),Jim Kenney,"Two airports serve Philadelphia: the Philadelphia International Airport (PHL) is located 7mi (11km) south-southwest of Center City on the boundary with Delaware County, providing scheduled domestic and international air service,[309] while Northeast Philadelphia Airport (PNE) is a general aviation relief airport in Northeast Philadelphia serving general and corporate aviation.[310]  Philadelphia International Airport is among the busiest airports in the world measured by traffic movements (i.e., takeoffs and landings).[311] More than 30 million passengers pass through the airport annually on 25 airlines, including all major domestic carriers. The airport has nearly 500 daily departures to more than 120 destinations worldwide.[309] SEPTA's Airport Regional Rail Line provides direct service between Center City railroad stations and Philadelphia International Airport.[312]
",http://www.phila.gov/,"According to the Köppen climate classification, Philadelphia falls under the northern periphery of the humid subtropical climate zone (Köppen Cfa),[82] whereas according to the Trewartha climate classification, the city has a temperate maritime climate (Do) limited to the north by the continental climate (Dc).[83] Summers are typically hot and muggy, fall and spring are generally mild, and winter is moderately cold. The plant life hardiness zones are 7a and 7b, representing an average annual extreme minimum temperature between 0 and 10°F (−18 and −12°C).[84]
",/wiki/Philadelphia
7,San Antonio, Texas,"1,532,233","1,327,407",+15.43%,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2","460.93[8] sq mi (1,193.7 km2)",4.5 sq mi (11.7 km2),UTC−6 (CST),Ron Nirenberg,"The San Antonio International Airport (SAT) is located in uptown San Antonio, about eight miles north of Downtown. San Antonio International Airport is the 6th busiest airport based on passenger boardings in Texas and 44th in the United States.[103]  It has two terminals and is served by 11 airlines serving 42 destinations. In May 2017 Air Canada opened its reach to Texas creating a non-stop flight between San Antonio and Toronto.
Stinson Municipal Airport is a reliever airport located six miles (10km) south of Downtown San Antonio. The airport has three runways and is also home to the Texas Air Museum.
",http://www.sanantonio.gov/,"San Antonio has a transitional humid subtropical climate (Köppen: Cfa),[31][32][33] featuring very hot, long, and humid summers and mild to cool winters. The area is subject to descending northern cold fronts in the winter with cool to cold nights, and is warm and rainy in the spring and fall.
",/wiki/San_Antonio
8,San Diego, California,"1,425,976","1,307,402",+9.07%,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",325.19 sq mi (842.25 km2),47.20 sq mi (122.24 km2)  12.68%,UTC−8 (Pacific),Kevin Faulconer,,http://www.sandiego.gov/,"San Diego has one of the top-ten best climates according to the Farmers' Almanac[66] and has one of the two best summer climates in America as scored by The Weather Channel.[67] Under the Köppen–Geiger climate classification system, the San Diego area has been variously categorized as having either a semi-arid climate (BSh in the original classification[68] and BSkn in modified Köppen classification with the n denoting summer fog)[69] or a Mediterranean climate[70] (Csa and Csb).[71] San Diego's climate is characterized by warm, dry summers and mild winters, with most of the annual precipitation falling between December and March. The city has a mild climate year-round,[72] with an average of 201 days above 70°F (21°C) and low rainfall (9–13 inches [230–330mm] annually).
",/wiki/San_Diego
9,Dallas, Texas,"1,345,047","1,197,816",+12.29%,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",340.5 sq mi (881.9 km2),45.3 sq mi (117.4 km2),UTC−6 (Central),Mike Rawlings,"Two commercial airports serve Dallas: Dallas/Fort Worth International Airport (DFW) and Dallas Love Field (DAL). In addition, Dallas Executive Airport (formerly Redbird Airport), serves as a general aviation airport for the city, and Addison Airport functions similarly just outside the city limits in the suburb of Addison. Two more general aviation airports are about 35 miles (56km) north of Dallas in McKinney, and another two are in Fort Worth, on the west side of the Metroplex. Alliance Airport, in far North Fort Worth, is a cargo reliever airport to DFW and general aviation facility.
",http://www.dallascityhall.com/,"Dallas has a humid subtropical climate (Köppen climate classification: Cfa) characteristic of the Southern Plains of the United States. It is also continental, characterized by a relatively wide annual temperature range. Located at the lower end of Tornado Alley, it is prone to extreme weather, tornadoes, and hailstorms.
",/wiki/Dallas
10,San Jose, California,"1,030,119","945,942",+8.90%,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",177.51 sq mi (459.75 km2),3.01 sq mi (7.80 km2)  1.91%,UTC−8 (Pacific Time Zone),Sam Liccardo,"San Jose is served by Norman Y. Mineta San Jose International Airport (IATA: SJC, ICAO: KSJC, FAA LID: SJC), two miles (3.2km) northwest of downtown, and by Reid-Hillview Airport of Santa Clara County (ICAO: KRHV, FAA LID: RHV) a general aviation airport located in the eastern part of San Jose. San Jose residents also use San Francisco International Airport (IATA: SFO, ICAO: KSFO, FAA LID: SFO), a major international hub located 35 miles (56km) to the northwest, and Oakland International Airport (IATA: OAK, ICAO: KOAK, FAA LID: OAK), another major international airport located 35 miles (56km) to the north. The airport is also near the intersections of three major freeways, U.S. Route 101, Interstate 880, and State Route 87.
",http://www.sanjoseca.gov/,"San Jose, like most of the Bay Area, has a Mediterranean climate (Köppen Csb).[80], with warm to hot, dry summers and mild to cool, wet winters. San Jose has an average of 301 days of sunshine and an annual mean temperature of 60.5°F (15.8°C). It lies inland, surrounded on three sides by mountains, and does not front the Pacific Ocean like San Francisco. As a result, the city is somewhat more sheltered from rain, giving it a semiarid feel with a mean annual rainfall of 15.82 inches or 401.8 millimetres, compared to some other parts of the Bay Area, which can receive about three times that amount.
","/wiki/San_Jose,_California"
